fréquence	tag	UD
1	adjectif.Modaux	
1	[[particule_o	
1	diwetocxxxh	
1	%t%/	
1	nom-déterminant	
1	?-?.quantifieur.préposition	
1	pronom.indéfini	
1	quantifieur.préposition.préposition	
1	gallet	
1	HAB	
1	tapet	
1	Lucille	
1	lennet	
1	quantifieur-indéfini	
1	%vez%	
1	3SGF	
1	E	
1	à]]_4]]_	
1	R_1]]_	
1	verbe-préposition-préposition	
1	deiz-	
1	quantifieur.pluriel.?.?	
1	adjectif.adjectif.verbe	
1	%diwetocxxxh%	
1	quantifieur.?.verbe	
1	?.?.?-nom	
1	?.indéfini	
1	nom.adverbe-adverbe	
1	quantifieur.pluriel.adjectif.?.?	
1	ma	
1	que]]_4]]_	
1	le]]	
1	préfixe-préfixe-préfixe.préfixe	
1	modaux.verbe	
1	%aliesocxxxh%	
1	nom_propre.nom_propre.nom_propre	
1	?.nom.adjectif	
1	nom.F.suffixe	
1	préfixe.nom.suffixe	
1	nom.suffixe.?	
1	nom.pluriel-adjectif	
1	nom-verbe.suffixe	
1	nom.indéfini	
1	?-pronom-?	
1	?.pronom.?	
1	préposition.préposition.préposition	
1	nom.suffixe.pluriel	
1	préposition.pronom-exclamatif	
1	modaux-préposition	
1	?-?.?-préposition	
1	préposition.pronom.pronom	
1	%ha%	
1	adjectif.préfixe	
1	?-adjectif-?	
1	NA	
1	préposition-Indéfini	
1	modaux.?-?	
1	*den	
1	*zen	
1	F.suffixe	
1	indéfini.indéfini-Indéfini	
1	indéfini-pronom-indéfini	
1	Pe	
1	objet	
1	quantifieur.adjectif.suffixe	
1	Anna	
1	Alain	
1	klevet	
1	nom.préposition-préposition	
1	adjectif.verbe.?	
1	adverbe-adverbe.suffixe	
1	préposition-préposition.préposition	
1	?.?-?-?	
1	adjectif.?.préposition	
1	Ncoll	
1	adverbe-adverbe-adverbe-adverbe.verbe	
1	pronom.pronom-pronom	
1	préposition-préposition-préposition	
1	nom.?.?.?	
1	embellir_[[art	
1	le_coin-pays	
1	nom.nom.nom.nom	
1	?-?-?-?-?.adjectif	
1	adverbe.complémenteur	
1	?-complémenteur	
